,month,total_rainfall,no_of_rainy_days,mean_temp,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,year,month_of_year
0,1982-01,107.1,10,25.9,36.5,5.6,81.2,1982,01
1,1982-02,27.8,5,27.1,9.4,7.6,79.5,1982,02
2,1982-03,160.8,11,27.2,61.7,5.1,82.3,1982,03
3,1982-04,157.0,14,27.0,45.1,4.7,85.9,1982,04
4,1982-05,102.2,10,28.0,33.0,5.8,83.2,1982,05
5,1982-06,59.5,8,28.4,20.6,7.3,80.3,1982,06
6,1982-07,76.3,8,28.2,17.2,7.6,77.6,1982,07
7,1982-08,169.5,11,27.7,57.7,5.4,80.4,1982,08
8,1982-09,54.1,9,27.9,18.0,5.2,80.6,1982,09
9,1982-10,39.3,10,27.4,10.0,5.6,81.5,1982,10
10,1982-11,134.0,13,27.3,39.6,5.8,83.4,1982,11
11,1982-12,494.1,21,26.2,109.0,3.3,87.7,1982,12
12,1983-01,246.0,18,26.5,43.2,4.3,85.6,1983,01
13,1983-02,5.6,2,28.1,5.1,9.3,78.0,1983,02
14,1983-03,18.6,2,28.9,18.3,8.9,76.0,1983,03
15,1983-04,33.6,4,29.4,21.3,6.6,77.2,1983,04
16,1983-05,160.8,11,28.3,32.3,5.9,83.2,1983,05
17,1983-06,94.0,11,28.3,27.7,5.9,82.4,1983,06
18,1983-07,190.0,18,27.6,55.5,5.4,83.7,1983,07
19,1983-08,262.2,10,28.1,181.8,6.3,81.2,1983,08
20,1983-09,170.8,18,27.2,50.3,3.8,84.4,1983,09
21,1983-10,212.7,17,27.6,40.0,5.2,82.5,1983,10
22,1983-11,228.8,18,26.6,54.8,3.2,85.2,1983,11
23,1983-12,370.6,16,25.4,164.4,2.7,88.0,1983,12
24,1984-01,251.2,18,25.5,62.3,4.1,85.8,1984,01
25,1984-02,470.4,19,25.8,154.4,4.1,86.0,1984,02
26,1984-03,361.3,19,26.5,119.4,5.3,85.4,1984,03
27,1984-04,153.1,17,27.3,38.7,6.2,83.8,1984,04
28,1984-05,186.5,12,27.3,46.0,6.4,84.1,1984,05
29,1984-06,255.0,14,27.5,121.1,5.4,83.1,1984,06
30,1984-07,127.2,12,27.2,49.2,5.7,83.7,1984,07
31,1984-08,102.7,13,27.4,22.5,6.0,84.1,1984,08
32,1984-09,186.7,17,26.8,46.5,4.9,83.9,1984,09
33,1984-10,187.5,11,27.4,47.2,5.3,82.5,1984,10
34,1984-11,127.7,17,26.5,35.4,4.3,86.3,1984,11
35,1984-12,277.4,22,26.0,58.4,3.3,86.7,1984,12
36,1985-01,111.1,7,26.6,35.5,8.7,81.5,1985,01
37,1985-02,79.3,11,27.0,18.7,6.5,84.0,1985,02
38,1985-03,88.0,13,27.1,23.8,5.6,83.9,1985,03
39,1985-04,110.5,14,27.5,29.3,5.5,83.8,1985,04
40,1985-05,70.1,12,28.0,36.2,5.7,83.4,1985,05
41,1985-06,37.0,14,28.2,9.9,5.8,79.4,1985,06
42,1985-07,131.8,17,27.0,32.2,5.3,83.1,1985,07
43,1985-08,56.9,11,27.7,21.4,6.2,80.4,1985,08
44,1985-09,110.7,18,26.9,22.0,5.0,83.1,1985,09
45,1985-10,169.0,21,26.7,30.2,4.1,84.7,1985,10
46,1985-11,179.4,21,26.6,38.2,4.1,85.0,1985,11
47,1985-12,340.1,22,26.1,86.8,4.6,86.2,1985,12
48,1986-01,308.2,13,25.7,95.6,3.9,83.9,1986,01
49,1986-02,26.7,2,26.9,23.0,7.2,78.4,1986,02
50,1986-03,353.4,17,26.4,71.1,4.6,86.6,1986,03
51,1986-04,150.0,14,27.4,56.4,6.2,85.3,1986,04
52,1986-05,145.1,13,28.2,51.3,6.1,81.8,1986,05
53,1986-06,122.9,13,27.9,34.5,6.8,82.5,1986,06
54,1986-07,109.7,12,27.9,23.5,6.2,79.9,1986,07
55,1986-08,72.9,11,28.3,28.4,5.6,77.3,1986,08
56,1986-09,396.0,22,26.7,97.6,4.8,84.4,1986,09
57,1986-10,227.3,20,26.9,65.6,5.0,85.0,1986,10
58,1986-11,256.7,21,26.6,40.5,4.5,84.1,1986,11
