,month,typhoid,total_rainfall,no_of_rainy_days,mean_temp,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,year,month_of_year,monsoon_type
72,2018-01,5.0,287.0,25,26.1,45.8,4.1,86.6,2018,01,NE
73,2018-02,3.0,14.8,5,27.2,13.0,8.0,77.2,2018,02,NE
74,2018-03,1.0,44.6,10,28.0,15.2,6.4,78.4,2018,03,NE
75,2018-04,4.0,61.2,14,28.5,14.0,6.8,78.5,2018,04,NA
76,2018-05,1.0,132.2,19,28.7,47.4,5.8,79.0,2018,05,NA
77,2018-06,2.0,182.6,17,28.4,46.8,4.1,79.3,2018,06,SW
78,2018-07,5.0,143.2,10,28.5,32.4,6.1,77.7,2018,07,SW
79,2018-08,6.0,121.6,11,28.5,34.6,6.7,77.0,2018,08,SW
80,2018-09,4.0,144.4,13,28.0,45.0,6.0,77.1,2018,09,SW
81,2018-10,4.0,234.4,18,27.9,60.6,6.1,79.7,2018,10,NA
82,2018-11,5.0,169.6,27,27.3,20.6,3.8,83.2,2018,11,NA
83,2018-12,3.0,172.6,19,27.6,43.8,5.1,81.5,2018,12,NE
84,2019-01,12.0,63.6,9,28.0,38.2,7.1,75.6,2019,01,NE
85,2019-02,3.0,31.6,5,28.2,13.4,9.2,74.1,2019,02,NE
86,2019-03,6.0,72.2,6,28.7,29.0,8.3,72.3,2019,03,NE
87,2019-04,1.0,174.8,9,28.6,52.4,5.9,77.6,2019,04,NA
88,2019-05,5.0,69.0,13,29.3,17.2,7.0,79.2,2019,05,NA
89,2019-06,5.0,173.8,16,28.4,37.6,5.3,79.5,2019,06,SW
90,2019-07,2.0,12.2,8,29.0,6.6,7.5,75.2,2019,07,SW
91,2019-08,24.0,11.8,6,29.1,3.8,7.6,72.1,2019,08,SW
92,2019-09,2.0,22.8,4,29.0,16.4,6.7,73.0,2019,09,SW
93,2019-10,3.0,176.8,15,28.1,92.2,6.5,78.1,2019,10,NA
94,2019-11,5.0,137.4,15,28.0,73.4,5.5,79.2,2019,11,NA
95,2019-12,5.0,421.5,14,26.7,74.2,4.8,83.9,2019,12,NE
96,2020-01,8.0,88.4,6,27.7,38.0,7.1,77.9,2020,01,NE
97,2020-02,4.0,65.0,8,27.9,23.8,8.3,76.0,2020,02,NE
98,2020-03,6.0,108.8,8,28.6,47.4,7.6,75.2,2020,03,NE
99,2020-04,6.0,188.0,12,28.9,51.8,7.1,76.4,2020,04,NA
100,2020-05,2.0,255.6,16,28.9,53.8,5.7,79.1,2020,05,NA
101,2020-06,0.0,233.8,21,28.1,41.0,4.3,80.2,2020,06,SW
102,2020-07,0.0,140.8,22,27.9,30.4,5.7,78.2,2020,07,SW
103,2020-08,2.0,103.4,12,28.3,34.6,6.4,76.8,2020,08,SW
104,2020-09,1.0,150.2,18,27.5,32.8,4.8,79.0,2020,09,SW
105,2020-10,1.0,78.8,16,28.3,19.0,4.3,75.4,2020,10,NA
106,2020-11,0.0,220.6,19,27.2,64.2,4.0,81.7,2020,11,NA
107,2020-12,0.0,253.2,20,27.2,58.2,5.2,81.1,2020,12,NE
108,2021-01,0.0,692.8,17,26.0,210.6,4.2,82.6,2021,01,NE
109,2021-02,2.0,1.0,2,27.3,0.6,8.2,73.8,2021,02,NE
110,2021-03,0.0,182.4,14,27.9,38.0,7.3,76.6,2021,03,NE
111,2021-04,0.0,290.4,14,28.2,83.8,6.8,77.4,2021,04,NA
112,2021-05,0.0,245.8,13,28.7,49.8,6.0,79.3,2021,05,NA
113,2021-06,1.0,93.4,20,28.5,23.8,6.5,77.8,2021,06,SW
114,2021-07,6.0,195.8,12,28.6,75.0,6.8,76.5,2021,07,SW
115,2021-08,1.0,293.6,24,27.6,71.4,4.8,80.4,2021,08,SW
116,2021-09,2.0,205.4,14,28.3,63.4,6.4,77.3,2021,09,SW
117,2021-10,2.0,177.0,14,28.5,59.6,6.2,78.3,2021,10,NA
118,2021-11,2.0,312.4,23,27.6,47.8,4.9,81.7,2021,11,NA
119,2021-12,1.0,119.6,15,27.7,46.8,5.4,79.7,2021,12,NE
120,2022-01,5.0,99.8,9,27.4,50.0,8.3,77.4,2022,01,NE
121,2022-02,3.0,175.0,16,27.3,29.6,5.9,80.3,2022,02,NE
122,2022-03,3.0,163.2,21,28.1,36.2,6.4,79.2,2022,03,NE
123,2022-04,5.0,239.6,18,28.1,58.8,5.2,80.0,2022,04,NA
124,2022-05,14.0,102.0,12,29.2,44.6,6.7,76.5,2022,05,NA
125,2022-06,6.0,211.8,17,27.9,59.4,4.7,79.1,2022,06,SW
126,2022-07,9.0,145.2,16,28.6,27.8,6.2,76.8,2022,07,SW
127,2022-08,8.0,141.4,15,28.1,32.4,5.5,77.4,2022,08,SW
128,2022-09,8.0,121.0,14,27.9,38.2,3.8,76.9,2022,09,SW
129,2022-10,1.0,279.0,27,27.6,38.8,3.5,78.7,2022,10,NA
130,2022-11,6.0,313.8,26,27.4,53.0,3.8,79.9,2022,11,NA
131,2022-12,1.0,215.4,19,26.8,37.0,3.6,81.2,2022,12,NE
